Accession,Locus,Type,Description,Other,Name(Type),Source
AT1G04450,AT1G04450.1,member,of,a,novel,calcium.csv
AT1G04510,AT1G04510.2,a,U-box,proteins,with,immunity.csv
AT1G04510,AT1G04510.1,a,U-box,proteins,with,immunity.csv
AT1G04540,AT1G04540.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G05100,AT1G05100.1,MEKK,subfamily.,Negatively,regulated,MAPk.csv
AT1G05150,AT1G05150.1,family,protein;(source:Araport11),"nucleus,",plasma,calcium.csv
AT1G05240,AT1G05240.1,protein;(source:Araport11),PATHOGENESIS,RELATED,9;,pathogen.csv
AT1G05290,AT1G05290.1,the,CONSTANS-Like,protein,family,ROS.csv
AT1G05500,AT1G05500.1,endomembrane-localized,synaptotagmin.,Synaptotagmin,family,calcium.csv
AT1G05500,AT1G05500.2,endomembrane-localized,synaptotagmin.,Synaptotagmin,family,calcium.csv
AT1G05560,AT1G05560.1,transferase,localized,in,the,Salicylic Acid.csv
AT1G05560,AT1G05560.2,transferase,localized,in,the,Salicylic Acid.csv
AT1G05630,AT1G05630.2,inositol,polyphosphate,5-phosphatase,with,calcium.csv
AT1G05630,AT1G05630.1,inositol,polyphosphate,5-phosphatase,with,calcium.csv
AT1G05630,AT1G05630.3,inositol,polyphosphate,5-phosphatase,with,calcium.csv
AT1G05680,AT1G05680.1,"UDP-glucosyltransferase,","UGT74E2,",that,acts,ROS.csv
AT1G05990,AT1G05990.1,calcium-binding,protein,family;(source:Araport11),CALMODULIN,calcium.csv
AT1G06580,AT1G06580.1,Protein.,During,pathogen,infection,infection.csv
AT1G06580,AT1G06580.3,Protein.,During,pathogen,infection,infection.csv
AT1G06580,AT1G06580.2,Protein.,During,pathogen,infection,infection.csv
AT1G06580,AT1G06580.1,Protein.,During,pathogen,infection,pathogen.csv
AT1G06580,AT1G06580.3,Protein.,During,pathogen,infection,pathogen.csv
AT1G06580,AT1G06580.2,Protein.,During,pathogen,infection,pathogen.csv
AT1G06680,AT1G06680.2,23,kD,extrinsic,protein,calcium.csv
AT1G06680,AT1G06680.1,23,kD,extrinsic,protein,calcium.csv
AT1G07150,AT1G07150.1,MEKK,subfamily.,Involved,in,MAPk.csv
AT1G07150,AT1G07150.2,MEKK,subfamily.,Involved,in,MAPk.csv
AT1G07310,AT1G07310.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G07360,AT1G07360.1,a,component,of,the,immunity.csv
AT1G07745,AT1G07745.5,suppressor,of,SNI1.,Encodes,pathogen.csv
AT1G07745,AT1G07745.3,suppressor,of,SNI1.,Encodes,pathogen.csv
AT1G07745,AT1G07745.2,suppressor,of,SNI1.,Encodes,pathogen.csv
AT1G07745,AT1G07745.4,suppressor,of,SNI1.,Encodes,pathogen.csv
AT1G07745,AT1G07745.1,suppressor,of,SNI1.,Encodes,pathogen.csv
AT1G08450,AT1G08450.3,of,three,Arabidopsis,calreticulins.,immunity.csv
AT1G08450,AT1G08450.2,of,three,Arabidopsis,calreticulins.,immunity.csv
AT1G08450,AT1G08450.1,of,three,Arabidopsis,calreticulins.,immunity.csv
AT1G08720,AT1G08720.2,resistance,1,(EDR1),confers,defense.csv
AT1G08720,AT1G08720.1,resistance,1,(EDR1),confers,defense.csv
AT1G08720,AT1G08720.2,resistance,1,(EDR1),confers,fungus.csv
AT1G08720,AT1G08720.1,resistance,1,(EDR1),confers,fungus.csv
AT1G08860,AT1G08860.1,copine-like,"protein,",which,is,calcium.csv
AT1G08960,AT1G08960.1,member,of,the,Potassium-dependent,calcium.csv
AT1G09000,AT1G09000.2,kinase,1S,"nucleus,",MAP,MAPk.csv
AT1G09000,AT1G09000.1,kinase,1S,ANP1;,MAP,MAPk.csv
AT1G09575,AT1G09575.1,channel.,MCU1;,MITOCHONDRIAL,CALCIUM,calcium.csv
AT1G09575,AT1G09575.2,channel.,"chloroplast,",LP.04,four,calcium.csv
AT1G09770,AT1G09770.1,MYB3R-,and,R2R3-,type,immunity.csv
AT1G10130,AT1G10130.1,golgi,localized,P2A-type,Ca2+,calcium.csv
AT1G10170,AT1G10170.4,a,homologue,of,the,defense.csv
AT1G10170,AT1G10170.3,a,homologue,of,the,defense.csv
AT1G10170,AT1G10170.1,a,homologue,of,the,defense.csv
AT1G10170,AT1G10170.2,a,homologue,of,the,defense.csv
AT1G10300,AT1G10300.2,in,HA,-,and,defense.csv
AT1G10300,AT1G10300.1,in,HA,-,and,defense.csv
AT1G10300,AT1G10300.3,in,HA,-,and,defense.csv
AT1G10300,AT1G10300.2,in,HA,-,and,pathogen.csv
AT1G10300,AT1G10300.1,in,HA,-,and,pathogen.csv
AT1G10300,AT1G10300.3,in,HA,-,and,pathogen.csv
AT1G10920,AT1G10920.1,a,disease,susceptibility,gene,defense.csv
AT1G10920,AT1G10920.4,a,disease,susceptibility,gene,defense.csv
AT1G10920,AT1G10920.3,a,disease,susceptibility,gene,defense.csv
AT1G10920,AT1G10920.5,a,disease,susceptibility,gene,defense.csv
AT1G10920,AT1G10920.2,a,disease,susceptibility,gene,defense.csv
AT1G10920,AT1G10920.1,a,disease,susceptibility,gene,fungus.csv
AT1G10920,AT1G10920.4,a,disease,susceptibility,gene,fungus.csv
AT1G10920,AT1G10920.3,a,disease,susceptibility,gene,fungus.csv
AT1G10920,AT1G10920.5,a,disease,susceptibility,gene,fungus.csv
AT1G10920,AT1G10920.2,a,disease,susceptibility,gene,fungus.csv
AT1G10940,AT1G10940.2,plant,protein,kinase,similar,calcium.csv
AT1G10940,AT1G10940.1,plant,protein,kinase,similar,calcium.csv
AT1G11310,AT1G11310.3,of,a,large,family,Salicylic Acid.csv
AT1G11310,AT1G11310.1,of,a,large,family,Salicylic Acid.csv
AT1G11310,AT1G11310.2,of,a,large,family,Salicylic Acid.csv
AT1G11390,AT1G11390.1,which,functions,in,plant,ROS.csv
AT1G11960,AT1G11960.2,that,is,phosphorylated,by,calcium.csv
AT1G11960,AT1G11960.3,that,is,phosphorylated,by,calcium.csv
AT1G11960,AT1G11960.1,that,is,phosphorylated,by,calcium.csv
AT1G11960,AT1G11960.2,that,is,phosphorylated,by,immunity.csv
AT1G11960,AT1G11960.3,that,is,phosphorylated,by,immunity.csv
AT1G11960,AT1G11960.1,that,is,phosphorylated,by,immunity.csv
AT1G11960,AT1G11960.2,that,is,phosphorylated,by,PAMPs.csv
AT1G11960,AT1G11960.3,that,is,phosphorylated,by,PAMPs.csv
AT1G11960,AT1G11960.1,that,is,phosphorylated,by,PAMPs.csv
AT1G12060,AT1G12060.1,of,Arabidopsis,BAG,(Bcl-2-associated,pathogen.csv
AT1G12080,AT1G12080.2,protein-like,protein;(source:Araport11),LP.02,two,calcium.csv
AT1G12080,AT1G12080.1,protein-like,protein;(source:Araport11),LP.02,two,calcium.csv
AT1G12220,AT1G12220.1,mediates,resistance,against,the,pathogen.csv
AT1G12220,AT1G12220.2,mediates,resistance,against,the,pathogen.csv
AT1G12220,AT1G12220.3,mediates,resistance,against,the,pathogen.csv
AT1G12280,AT1G12280.2,NB-LRR,protein,SUMM2,involved,defense.csv
AT1G12280,AT1G12280.1,NB-LRR,protein,SUMM2,involved,defense.csv
AT1G12310,AT1G12310.1,family,protein;(source:Araport11),"nucleus,",plasma,calcium.csv
AT1G12530,AT1G12530.1,a,screen,for,suppressors,immunity.csv
AT1G12660,AT1G12660.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G12663,AT1G12663.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G13210,AT1G13210.1,II.,ALA11,acts,redundantly,polarity.csv
AT1G13230,AT1G13230.1,leucine-rich,repeat,protein,pii-2.,fungus.csv
AT1G13960,AT1G13960.1,DNA-binding,protein,4,(WRKY4).,WYKY.csv
AT1G13960,AT1G13960.2,DNA-binding,protein,4,(WRKY4).,WYKY.csv
AT1G14340,AT1G14340.1,"partner,",negatively,regulates,ROS-mediated,defense.csv
AT1G15400,AT1G15400.1,with,MAPK,signaling,to,MAPk.csv
AT1G15400,AT1G15400.3,with,MAPK,signaling,to,MAPk.csv
AT1G15400,AT1G15400.2,with,MAPK,signaling,to,MAPk.csv
AT1G16020,AT1G16020.1,protein,(DUF1712);(source:Araport11),CALCIUM,CAFFEINE,calcium.csv
AT1G16020,AT1G16020.4,protein,(DUF1712);(source:Araport11),LP.02,two,calcium.csv
AT1G16020,AT1G16020.2,protein,(DUF1712);(source:Araport11),CALCIUM,CAFFEINE,calcium.csv
AT1G16020,AT1G16020.3,protein,(DUF1712);(source:Araport11),LP.02,two,calcium.csv
AT1G17140,AT1G17140.1,ROP/RAC,"effector,",designated,interactor,polarity.csv
AT1G17140,AT1G17140.2,ROP/RAC,"effector,",designated,interactor,polarity.csv
AT1G17600,AT1G17600.1,a,TIR-NB-leucine-rich,repeat,(TNL),immunity.csv
AT1G17610,AT1G17610.1,that,controls,temperature-dependent,growth,defense.csv
AT1G17610,AT1G17610.2,that,controls,temperature-dependent,growth,defense.csv
AT1G17750,AT1G17750.1,a,plasma,membrane,leucine-rich,defense.csv
AT1G17860,AT1G17860.1,Kunitz,trypsin,inhibitor,(KTI),defense.csv
AT1G17980,AT1G17980.2,poly(A),polymerase.,Located,in,Salicylic Acid.csv
AT1G17980,AT1G17980.1,poly(A),polymerase.,Located,in,Salicylic Acid.csv
AT1G18210,AT1G18210.1,family,protein;(source:Araport11),"nucleus,","vacuole,",calcium.csv
AT1G18210,AT1G18210.2,family,protein;(source:Araport11),"nucleus,","vacuole,",calcium.csv
AT1G18290,AT1G18290.1,up-regulated,after,infection,by,infection.csv
AT1G18610,AT1G18610.2,repeat,superfamily,"protein,",induced,calcium.csv
AT1G18610,AT1G18610.1,repeat,superfamily,"protein,",induced,calcium.csv
AT1G18660,AT1G18660.4,protein,of,unknown,function.,pathogen.csv
AT1G18660,AT1G18660.3,protein,of,unknown,function.,pathogen.csv
AT1G18660,AT1G18660.2,protein,of,unknown,function.,pathogen.csv
AT1G18660,AT1G18660.1,protein,of,unknown,function.,pathogen.csv
AT1G18860,AT1G18860.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G18890,AT1G18890.1,calcium-dependent,protein,kinase,whose,calcium.csv
AT1G19020,AT1G19020.1,against,bacterial,pathogens,and,defense.csv
AT1G19020,AT1G19020.1,against,bacterial,pathogens,and,pathogen.csv
AT1G19180,AT1G19180.1,a,nuclear-localized,protein,involved,defense.csv
AT1G19180,AT1G19180.2,a,nuclear-localized,protein,involved,defense.csv
AT1G19180,AT1G19180.3,a,nuclear-localized,protein,involved,defense.csv
AT1G19250,AT1G19250.1,required,for,full,expression,infection.csv
AT1G19250,AT1G19250.1,required,for,full,expression,pathogen.csv
AT1G19320,AT1G19320.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G19570,AT1G19570.1,member,of,the,dehydroascorbate,fungus.csv
AT1G19570,AT1G19570.1,member,of,the,dehydroascorbate,pathogen.csv
AT1G19610,AT1G19610.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT1G19660,AT1G19660.2,protein;(source:Araport11),ATBBD2;,BBD2;,BIFUNCTIONAL,defense.csv
AT1G19660,AT1G19660.1,protein;(source:Araport11),ATBBD2;,BBD2;,BIFUNCTIONAL,defense.csv
AT1G19660,AT1G19660.3,protein;(source:Araport11),VCB,"complex,",guard,defense.csv
AT1G20030,AT1G20030.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G20030,AT1G20030.2,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT1G20160,AT1G20160.1,isoforms.,One,(SBT5.2(a),),defense.csv
AT1G20160,AT1G20160.3,isoforms.,One,(SBT5.2(a),),defense.csv
AT1G20160,AT1G20160.2,localized,to,endosomes.It,interacts,defense.csv
AT1G21010,AT1G21010.1,after,infection,by,S.,infection.csv
AT1G21270,AT1G21270.1,protein,kinase,induced,by,Salicylic Acid.csv
AT1G21550,AT1G21550.1,family,protein;(source:Araport11),"nucleus,",LP.02,calcium.csv
AT1G21880,AT1G21880.2,lysin-motif,protein,mediating,bacterial,immunity.csv
AT1G21880,AT1G21880.1,lysin-motif,protein,mediating,bacterial,immunity.csv
AT1G21880,AT1G21880.2,lysin-motif,protein,mediating,bacterial,infection.csv
AT1G21880,AT1G21880.1,lysin-motif,protein,mediating,bacterial,infection.csv
AT1G22610,AT1G22610.1,plant,phosphoribosyltransferase,family,protein;(source:Araport11),calcium.csv
AT1G22810,AT1G22810.1,member,of,the,DREB,immunity.csv
AT1G22810,AT1G22810.1,member,of,the,DREB,PAMPs.csv
AT1G22882,AT1G22882.1,member,of,the,mid-SUN,defense.csv
AT1G22882,AT1G22882.1,member,of,the,mid-SUN,pathogen.csv
AT1G22890,AT1G22890.1,which,functions,in,plant,defense.csv
AT1G22890,AT1G22890.1,which,functions,in,plant,pathogen.csv
AT1G23160,AT1G23160.1,amido,synthetase,involved,in,Salicylic Acid.csv
AT1G23420,AT1G23420.2,formation,and,asymmetric,growth,polarity.csv
AT1G23420,AT1G23420.1,formation,and,asymmetric,growth,polarity.csv
AT1G24140,AT1G24140.1,by,fungal,and,bacterial,fungal.csv
AT1G24140,AT1G24140.1,by,fungal,and,bacterial,pathogen.csv
AT1G24150,AT1G24150.2,group,I,formin.,Localized,defense.csv
AT1G24150,AT1G24150.1,group,I,formin.,Localized,defense.csv
AT1G24620,AT1G24620.1,EF-hand,calcium-binding,protein,family,calcium.csv
AT1G24706,AT1G24706.9,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.8,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.6,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.4,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.1,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.5,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.3,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.2,component,of,the,putative,small_RNAs.csv
AT1G24706,AT1G24706.7,component,of,the,putative,small_RNAs.csv
AT1G25540,AT1G25540.1,nuclear,protein,that,acts,defense.csv
AT1G25540,GLH1,genetic,locus,that,is,defense.csv
AT1G25540,AT1G25540.2,nuclear,protein,that,acts,defense.csv
AT1G26190,AT1G26190.3,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.1,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.5,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.4,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.6,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.2,a,triphosphate,tunnel,metalloenzyme,defense.csv
AT1G26190,AT1G26190.3,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26190,AT1G26190.5,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26190,AT1G26190.1,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26190,AT1G26190.6,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26190,AT1G26190.4,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26190,AT1G26190.2,a,triphosphate,tunnel,metalloenzyme,pathogen.csv
AT1G26630,AT1G26630.2,initiation,factor,5A-2.,Involved,infection.csv
AT1G26630,AT1G26630.1,initiation,factor,5A-2.,Involved,infection.csv
AT1G27130,AT1G27130.1,transferase,belonging,to,the,pathogen.csv
AT1G28190,AT1G28190.1,up-regulated,after,infection,by,infection.csv
AT1G28290,AT1G28290.1,atypical,arabinogalactan,protein,that,defense.csv
AT1G28290,AT1G28290.2,atypical,arabinogalactan,protein,that,defense.csv
AT1G28380,AT1G28380.1,is,predicted,to,encode,defense.csv
AT1G28380,AT1G28380.1,is,predicted,to,encode,Salicylic Acid.csv
AT1G29020,AT1G29020.2,family,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT1G29020,AT1G29020.1,family,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT1G29025,AT1G29025.1,family,protein;(source:Araport11),calcium,ion,calcium.csv
AT1G29195,AT1G29195.1,up-regulated,after,infection,by,infection.csv
AT1G29280,AT1G29280.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G29690,AT1G29690.1,protein,containing,a,domain,defense.csv
AT1G29690,AT1G29690.1,protein,containing,a,domain,immunity.csv
AT1G29690,AT1G29690.1,protein,containing,a,domain,pathogen.csv
AT1G29690,AT1G29690.1,protein,containing,a,domain,Salicylic Acid.csv
AT1G29860,AT1G29860.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G30460,AT1G30460.3,the,30-KDa,subunit,of,calcium.csv
AT1G30460,AT1G30460.2,the,30-KDa,subunit,of,calcium.csv
AT1G30460,AT1G30460.1,the,30-KDa,subunit,of,calcium.csv
AT1G30650,AT1G30650.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT1G31093,AT1G31093.1,calcium-dependant,protein,kinase,FALSE,calcium.csv
AT1G31280,AT1G31280.1,gene,that,binds,viral,defense.csv
AT1G31280,AT1G31280.1,gene,that,binds,viral,immunity.csv
AT1G32070,AT1G32070.2,acetyltransferase,(NSI),that,is,infection.csv
AT1G32070,AT1G32070.3,acetyltransferase,(NSI),that,is,infection.csv
AT1G32070,AT1G32070.1,acetyltransferase,(NSI),that,is,infection.csv
AT1G32250,AT1G32250.1,family,protein;(source:Araport11),calcium,ion,calcium.csv
AT1G33560,AT1G33560.1,NBS-LRR,disease,resistance,protein,defense.csv
AT1G33560,AT1G33560.1,NBS-LRR,disease,resistance,protein,pathogen.csv
AT1G33560,AT1G33560.1,NBS-LRR,disease,resistance,protein,ROS.csv
AT1G33960,AT1G33960.1,a,gene,that,is,infection.csv
AT1G33960,AT1G33960.2,a,gene,that,is,infection.csv
AT1G33970,AT1G33970.5,a,member,of,a,infection.csv
AT1G33970,AT1G33970.4,a,member,of,a,infection.csv
AT1G33970,AT1G33970.1,a,member,of,a,infection.csv
AT1G33970,AT1G33970.3,a,member,of,a,infection.csv
AT1G33970,AT1G33970.2,a,member,of,a,infection.csv
AT1G33970,AT1G33970.5,a,member,of,a,pathogen.csv
AT1G33970,AT1G33970.4,a,member,of,a,pathogen.csv
AT1G33970,AT1G33970.1,a,member,of,a,pathogen.csv
AT1G33970,AT1G33970.3,a,member,of,a,pathogen.csv
AT1G33970,AT1G33970.2,a,member,of,a,pathogen.csv
AT1G34210,AT1G34210.1,LRR,receptor-like,serine,threonine,fungal.csv
AT1G34210,AT1G34210.2,LRR,receptor-like,serine,threonine,fungal.csv
AT1G34245,AT1G34245.1,secretory,peptide,EPF2,expressed,MAPk.csv
AT1G35537,AT1G35537.1,defensin-like,peptide,with,antifungal,fungal.csv
AT1G35670,AT1G35670.1,"Ca(2+)-dependent,",calmodulin-independent,protein,kinase,calcium.csv
AT1G35720,AT1G35720.1,member,of,the,annexin,calcium.csv
AT1G35720,AT1G35720.1,member,of,the,annexin,ROS.csv
AT1G37130,AT1G37130.1,a,mutant,resistant,to,fungus.csv
AT1G44350,AT1G44350.1,protein,similar,to,IAA,pathogen.csv
AT1G44830,AT1G44830.1,nuclear-localized,member,of,the,fungal.csv
AT1G44830,AT1G44830.1,nuclear-localized,member,of,the,pathogen.csv
AT1G47128,AT1G47128.1,precursor-like,protein/,dehydration,stress-responsive,fungal.csv
AT1G47128,AT1G47128.1,precursor-like,protein/,dehydration,stress-responsive,immunity.csv
AT1G47128,AT1G47128.1,precursor-like,protein/,dehydration,stress-responsive,pathogen.csv
AT1G48090,AT1G48090.4,family,protein;(source:Araport11),L,mature,calcium.csv
AT1G48090,AT1G48090.2,family,protein;(source:Araport11),L,mature,calcium.csv
AT1G48090,AT1G48090.6,family,protein;(source:Araport11),L,mature,calcium.csv
AT1G48090,AT1G48090.3,family,protein;(source:Araport11),L,mature,calcium.csv
AT1G48090,AT1G48090.5,family,protein;(source:Araport11),L,mature,calcium.csv
AT1G48090,AT1G48090.1,family,protein;(source:Araport11),"plasmodesma,",cultured,calcium.csv
AT1G48590,AT1G48590.2,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G48590,AT1G48590.3,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G48590,AT1G48590.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G48590,AT1G48590.4,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G49580,AT1G49580.1,kinase,(CDPK),family,protein;(source:Araport11),calcium.csv
AT1G49800,AT1G49800.1,PIP1.,PRECURSOR,OF,PAMP-INDUCED,PAMPs.csv
AT1G50050,AT1G50050.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT1G50050,AT1G50050.2,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT1G50060,AT1G50060.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT1G50570,AT1G50570.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G50570,AT1G50570.2,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT1G50700,AT1G50700.1,Calcium,Dependent,Protein,Kinase.,calcium.csv
AT1G50700,AT1G50700.3,Calcium,Dependent,Protein,Kinase.,calcium.csv
AT1G50700,AT1G50700.2,Calcium,Dependent,Protein,Kinase.,calcium.csv
AT1G50920,AT1G50920.1,involved,in,HA,-,defense.csv
AT1G50920,AT1G50920.1,involved,in,HA,-,pathogen.csv
AT1G51090,AT1G51090.1,associated,domain,containing,protein,defense.csv
AT1G51090,AT1G51090.1,associated,domain,containing,protein,immunity.csv
AT1G51090,AT1G51090.1,associated,domain,containing,protein,pathogen.csv
AT1G51220,AT1G51220.1,WIP,domain,containing,protein.,WYKY.csv
AT1G51360,AT1G51360.1,defense,against,fungal,pathogens,defense.csv
AT1G51360,AT1G51360.1,defense,against,fungal,pathogens,fungal.csv
AT1G51360,AT1G51360.1,defense,against,fungal,pathogens,pathogen.csv
AT1G51660,AT1G51660.1,mitogen-activated,map,kinase,kinase,defense.csv
AT1G51660,AT1G51660.1,mitogen-activated,map,kinase,kinase,immunity.csv
AT1G51850,AT1G51850.2,kinase,involved,in,MAMP,immunity.csv
AT1G51850,AT1G51850.1,kinase,involved,in,MAMP,immunity.csv
AT1G51850,AT1G51850.1,kinase,involved,in,MAMP,MAMPs.csv
AT1G51850,AT1G51850.2,kinase,involved,in,MAMP,MAMPs.csv
AT1G51940,AT1G51940.1,LysM-containing,receptor-like,kinase.,Induction,defense.csv
AT1G51940,AT1G51940.1,LysM-containing,receptor-like,kinase.,Induction,fungal.csv
AT1G51940,AT1G51940.1,LysM-containing,receptor-like,kinase.,Induction,infection.csv
AT1G51940,AT1G51940.1,LysM-containing,receptor-like,kinase.,Induction,pathogen.csv
AT1G52030,AT1G52030.2,myrosinase,binding,proteins,which,defense.csv
AT1G52030,AT1G52030.1,myrosinase,binding,proteins,which,defense.csv
AT1G52030,AT1G52030.3,myrosinase,binding,proteins,which,defense.csv
AT1G52230,AT1G52230.1,this,protein,is,dependent,calcium.csv
AT1G52410,AT1G52410.2,novel,calcium-binding,repeat,sequence.,calcium.csv
AT1G52410,AT1G52410.1,novel,calcium-binding,repeat,sequence.,calcium.csv
AT1G53130,AT1G53130.1,REAPER,"(GRI),",involved,in,ROS.csv
AT1G53570,AT1G53570.3,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.5,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.6,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.1,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.2,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.4,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.7,member,of,the,MEKK,fungal.csv
AT1G53570,AT1G53570.3,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.1,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.5,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.6,member,of,the,MEKK,MAPk.csv
AT1G53570,AT1G53570.2,member,of,the,MEKK,MAPk.csv
